Attendee ID,Event Id,Attendee Record Type,Company Name,Company Type,Job Title,Amount,Country,Weeks Out (by Close Date),Prospect Type,Lead Type,Stage
0062000000ffhZd,70120000000v4t7,Delegates,Fortress Biotech,Drug Developer,Vice President - Drug Discovery Drug Discovery,1689.31,United States,0,AtL,Brochure download,Confirmed Delegate
0062000000fepMl,70120000000v4t7,Delegates,Synthesis Ventures,,Co-Founder & Managing Director,1182.52,United States,0,AtL,Active enquiry,Confirmed Delegate
0062000000feGiI,70120000000v4t7,Delegates,Unum Therapeutics,Drug Developer,Chief Medical Officer,1520.38,United States,0,AtL,Active enquiry,Confirmed Delegate
0062000000fef2h,70120000000v4t7,Delegates,Merck Group,Equipment & Service Providers,Head of Gene Editing & Novel Modalities,1689.31,United States,0,AtL,Brochure download,Confirmed Delegate
0062000000feJ2v,70120000000v4t7,Delegates,WuXi AppTec,Equipment & Service Providers,Senior Director & Head of Sales,1182.52,United States,0,AtL,Spex referral,Confirmed Delegate
0062000000feJDV,70120000000v4t7,Delegates,WuXi AppTec,Equipment & Service Providers,Account Manager,1182.52,United States,0,AtL,Spex referral,Confirmed Delegate
0062000000gLZeX,70120000000v4t7,Delegates,HumOrigin,,Principal Scientist,2208.64,United States,0,AtL,Active enquiry,No Show
0062000000fuqJ8,70120000000v4t7,Delegates,Sorrento Therapeutics Inc.,Drug Developer,Head of Chimeric Receptor-T Lab Cancer Immunotherapy,1689.31,United States,1,BtL,Allocated List,Confirmed Delegate
0062000000fussW,70120000000v4t7,Delegates,Cryoport,Supply Chain,Vice President - Strategic Business Development,1351.45,United States,1,AtL,Spex referral,Confirmed Delegate
0062000000fucXp,70120000000v4t7,Delegates,Agenus,Drug Developer,"Senior Advisor - Research & Development, Board Of Directors",2208.64,United States,1,AtL,Brochure download,Confirmed Delegate
0062000000gQgHl,70120000000v4t7,Delegates,"ImmunityBio, Inc.",Drug Developer,Vice President - Regulatory & Quality,1182.52,United States,0,AtL,Active enquiry,Confirmed Delegate
0062000000fum9a,70120000000v4t7,Delegates,Biomark Capital,,Managing Director -,1689.31,United States,1,AtL,Brochure download,Confirmed Delegate
0062000000fg4up,70120000000v4t7,Production,Cellular Biomedicine Group (CBMG),Support Services,Chief Scientific Officer,,United States,5,BtL,,Confirmed Speaker
0062000000fuK0k,70120000000v4t7,Production,Novartis AG,Drug Developer,"Vice President, Global Head of Technical Research, Development, Cell & Gene Therapies Unit",,United States,1,BtL,,Confirmed Speaker
0062000000ftn1P,70120000000v4t7,Production,University of Pennsylvania,Research Institute,"Director, T Cell Engineering Laboratory T Cell Engineering Lab",,United States,2,BtL,,Confirmed Speaker
0062000000eeBZN,70120000000v4t7,Production,National Marrow Donor Program - Be The Match,,Director - Payer Policy,,United States,13,BtL,,Confirmed Speaker
0062000000eeBZr,70120000000v4t7,Production,Celgene Corporation Bristol Myers Squibb Co.,Drug Developer,"Senior Director - Cell Therapy, New Product Platform & Process Development",,United States,13,BtL,,Confirmed Speaker
0062000000ecTvy,70120000000v4t7,Production,ZIOPHARM Oncology,Drug Developer,Senior Vice President - Clinical Development & Medical Operations,,United States,16,BtL,,Confirmed Speaker
0062000000ecfMC,70120000000v4t7,Production,Eli Lilly & Co.,Drug Developer,Chief Scientific Officer - Cancer Immunobiology & Distinguished Lilly Scholar,,United States,16,BtL,,Confirmed Speaker
0062000000ecUUz,70120000000v4t7,Production,Lentigen Corp,Equipment & Service Providers,Chief Science Officer,,United States,16,BtL,,Confirmed Sponsor Speaker
0062000000ecUVT,70120000000v4t7,Production,Miltenyi Biotec,Drug Developer,Executive Vice President - Business Development,,United States,16,BtL,,Confirmed Sponsor Speaker
0062000000ecUVs,70120000000v4t7,Production,Baylor College of Medicine,Research Institute,Assistant Professor Gene Therapy,,United States,16,BtL,,Confirmed Sponsor Speaker
0062000000ecUYL,70120000000v4t7,Production,Autolus,Drug Developer,Head of Process Development,0.00,United Kingdom,16,BtL,,Confirmed Speaker
0062000000ecUZ9,70120000000v4t7,Production,bluebird bio,Drug Developer,Vice President Immunotherapy,0.00,United States,16,BtL,,Confirmed Speaker
0062000000ecUZO,70120000000v4t7,Production,Solving Kids' Cancer,Equipment & Service Providers,Executive Director,,United States,16,BtL,,Confirmed Speaker
0062000000ecUZs,70120000000v4t7,Production,Celyad,Drug Developer,Consultant,,United States,16,BtL,,Confirmed Sponsor Speaker
